legacy_charge_key,legacy_student_id,cycle_code,concept_code,coverage_year,coverage_month,original_amount,due_date,origin,status,legacy_period,legacy_price_id,price_resolution
845acc82-5357-4263-a24c-e03f7ea60a49|ENROLLMENT_FEE|25-26,845acc82-5357-4263-a24c-e03f7ea60a49,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-27,LEGACY_MIGRATION,ACTIVE,INS,9c526663-5708-4a0f-9ef7-065ea2cdd686,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
8d1da005-457e-4b91-b44a-605b0ca3c47a|ENROLLMENT_FEE|25-26,8d1da005-457e-4b91-b44a-605b0ca3c47a,25-26,ENROLLMENT_FEE,,,2400.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,1df4cb7f-ff8d-45b8-ba3b-9e937bfbd5c1,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
95149f3e-bf90-4279-8471-a562bd517960|ENROLLMENT_FEE|25-26,95149f3e-bf90-4279-8471-a562bd517960,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,ed4e1a90-c9f2-4448-80f8-eabc3ab9a9f1,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
9ace76f4-cf42-4715-ba18-951ec5af9103|ENROLLMENT_FEE|25-26,9ace76f4-cf42-4715-ba18-951ec5af9103,25-26,ENROLLMENT_FEE,,,1000.00,2026-01-27,LEGACY_MIGRATION,ACTIVE,INS,a91cd725-66b1-445a-83d2-02c0bf2e151c,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
a289cbad-dbdb-4e9c-8afd-aeef6bbd7fcb|ENROLLMENT_FEE|25-26,a289cbad-dbdb-4e9c-8afd-aeef6bbd7fcb,25-26,ENROLLMENT_FEE,,,1100.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,3c178cc7-2e48-4026-a480-9627fc956524,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
a4c9cada-bb7c-4116-8091-8b3e944aba30|ENROLLMENT_FEE|25-26,a4c9cada-bb7c-4116-8091-8b3e944aba30,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,bc96a334-b423-4c07-afe2-9c2e32412aa3,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
a6b37970-a2fa-4a7b-8b11-d3e5151b40b3|ENROLLMENT_FEE|25-26,a6b37970-a2fa-4a7b-8b11-d3e5151b40b3,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,ebb2721f-edab-4a94-89bb-25f9fddc664a,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
a71be5b5-f484-434a-912c-d679234166b5|ENROLLMENT_FEE|25-26,a71be5b5-f484-434a-912c-d679234166b5,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,52f1e6e5-036a-4ab2-93a8-19631d8be17d,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
a8144361-4bce-487c-bc3a-949391e8d895|ENROLLMENT_FEE|25-26,a8144361-4bce-487c-bc3a-949391e8d895,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-27,LEGACY_MIGRATION,ACTIVE,INS,4f80bae6-b058-47e6-b03c-a13f83632f11,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
abea3641-4bdf-451a-8710-fa95ab34cab7|ENROLLMENT_FEE|25-26,abea3641-4bdf-451a-8710-fa95ab34cab7,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,cc40fe7d-b853-47ef-8c12-a949a243b9f4,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
ade9cbc4-6693-4456-b351-ef101774e7e4|ENROLLMENT_FEE|25-26,ade9cbc4-6693-4456-b351-ef101774e7e4,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,9acb2abb-f3bf-47a2-9951-03118fd4fd24,DUE_DATE:EXACT_OR_PRIOR
