legacy_agreement_key,legacy_student_id,concept_code,legacy_price_id,base_amount_snapshot,benefit_type_snapshot,benefit_value_snapshot,agreed_amount,valid_from,valid_until,reason,source
d08fe665-bb14-41a1-b1b8-902320280075|TUITION|2025-09-01,d08fe665-bb14-41a1-b1b8-902320280075,TUITION,282dfca9-06e3-427e-9052-0968b2243bf3,1600.00,,,1600.00,2025-09-01,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a|ENROLLMENT_FEE|2025-02-05,81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a,ENROLLMENT_FEE,2899d873-77b7-44c9-a8e2-701e8e3aa018,1100.00,,,1100.00,2025-02-05,,,LEGACY_PRICE_HISTORY
5af22e45-f9f7-4577-b07b-7ce4a7940329|ENROLLMENT_FEE|2025-02-01,5af22e45-f9f7-4577-b07b-7ce4a7940329,ENROLLMENT_FEE,28c62c51-2658-43e3-b8fc-b4d00fecb16d,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
ea4ba647-d045-4e06-ae83-397c1aa0fb8d|ENROLLMENT_FEE|2025-02-14,ea4ba647-d045-4e06-ae83-397c1aa0fb8d,ENROLLMENT_FEE,2a108665-6f4c-49e2-a138-4abae2c6643d,1100.00,,,1100.00,2025-02-14,,Periodo de preinscripciones,LEGACY_PRICE_HISTORY
58676041-fe76-4791-9f8b-7bc1dad83cb8|TUITION|2025-09-03,58676041-fe76-4791-9f8b-7bc1dad83cb8,TUITION,2a83e07f-9c75-4792-8c0e-a33e027ab4d9,1500.00,,,1500.00,2025-09-03,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6|ENROLLMENT_FEE|2025-09-15,4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6,ENROLLMENT_FEE,2af599d3-b29a-4d1f-bba0-95cedd150a08,2000.00,,,2000.00,2025-09-15,,,LEGACY_PRICE_HISTORY
37b6c311-9c1a-461e-a70b-d93557cdbc0d|ENROLLMENT_FEE|2025-06-15,37b6c311-9c1a-461e-a70b-d93557cdbc0d,ENROLLMENT_FEE,2bcb03d4-0668-4ebb-bce4-ad526fb0af69,2400.00,,,2400.00,2025-06-15,2025-08-31,,LEGACY_PRICE_HISTORY
37b6c311-9c1a-461e-a70b-d93557cdbc0d|ENROLLMENT_FEE|2025-09-01,37b6c311-9c1a-461e-a70b-d93557cdbc0d,ENROLLMENT_FEE,4dca9c74-8ef5-469b-85c1-673d42c83b0a,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
6f2f8410-2704-4938-8538-21edb5b8221a|ENROLLMENT_FEE|2025-02-01,6f2f8410-2704-4938-8538-21edb5b8221a,ENROLLMENT_FEE,2cc59039-2c1d-4f38-957a-e31b41af37b8,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
8526d610-1516-448b-80fe-67bed0d43c11|TUITION|2025-09-02,8526d610-1516-448b-80fe-67bed0d43c11,TUITION,2d019072-41f8-4bb0-8657-0924f116b9b7,1600.00,FIXED_AMOUNT,1600.00,0.00,2025-09-02,,hija ex maestra,LEGACY_PRICE_HISTORY
273286ee-1011-4ae2-828e-974f625a6fd2|ENROLLMENT_FEE|2025-09-01,273286ee-1011-4ae2-828e-974f625a6fd2,ENROLLMENT_FEE,413b31f5-ab29-4105-b2c5-2010599cda3b,2400.00,,,2400.00,2025-09-01,2025-09-01,,LEGACY_PRICE_HISTORY
273286ee-1011-4ae2-828e-974f625a6fd2|ENROLLMENT_FEE|2025-09-02,273286ee-1011-4ae2-828e-974f625a6fd2,ENROLLMENT_FEE,2d21daf4-b7c8-46c4-9665-98c856578ada,2500.00,,,2500.00,2025-09-02,,,LEGACY_PRICE_HISTORY
37b6c311-9c1a-461e-a70b-d93557cdbc0d|TUITION|2025-09-02,37b6c311-9c1a-461e-a70b-d93557cdbc0d,TUITION,303c144b-736f-4f56-b6c3-285294311a1e,1500.00,FIXED_AMOUNT,400.00,1100.00,2025-09-02,2025-09-02,Beca Fran,LEGACY_PRICE_HISTORY
37b6c311-9c1a-461e-a70b-d93557cdbc0d|TUITION|2025-09-03,37b6c311-9c1a-461e-a70b-d93557cdbc0d,TUITION,c9e6b15b-32f3-40f7-936e-4bbbd96929d6,1500.00,FIXED_AMOUNT,500.00,1000.00,2025-09-03,,,LEGACY_PRICE_HISTORY
2a01ea65-7487-4834-ab23-855018d8868e|TUITION|2025-09-02,2a01ea65-7487-4834-ab23-855018d8868e,TUITION,321cbe36-d60c-43e1-bbd2-c6aa9767e67f,1600.00,FIXED_AMOUNT,400.00,1200.00,2025-09-02,2025-09-02,beca hermanas,LEGACY_PRICE_HISTORY
