legacy_id,legacy_student_id,legacy_cycle_id,cycle_code,education_level_code,grade_sort_order,classification_code,status,enrolled_on,classes_start_on,closed_on,academic_participation_override
25-26:a8144361-4bce-487c-bc3a-949391e8d895,a8144361-4bce-487c-bc3a-949391e8d895,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:abea3641-4bdf-451a-8710-fa95ab34cab7,abea3641-4bdf-451a-8710-fa95ab34cab7,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:ade9cbc4-6693-4456-b351-ef101774e7e4,ade9cbc4-6693-4456-b351-ef101774e7e4,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:ae5f806a-46b0-4a53-8eb3-9a5dd3e9d0dd,ae5f806a-46b0-4a53-8eb3-9a5dd3e9d0dd,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1,afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:b032b2a8-6144-4f39-8707-e4b41330b9d8,b032b2a8-6144-4f39-8707-e4b41330b9d8,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:bcb7ffd8-0cfa-449a-88d5-626f505cb19c,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:bfce22f5-d7f1-4b93-8fc1-eb5907831b0c,bfce22f5-d7f1-4b93-8fc1-eb5907831b0c,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:c56d34dd-a1d8-4603-9194-4da21924592b,c56d34dd-a1d8-4603-9194-4da21924592b,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,6,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
